Line     Offset   Lexeme                    Token                     Token Special            
=================================================================

1        0        // GOOD DECLARATIONS      T_COMMENT                 TS_COMMENT_LINE          
2        0        var                       T_KEYWORD                 TS_VAR                   
2        4        x                         T_IDENTIFIER              TS_IDENTIFIER            
2        6        =                         T_OPERATOR                TS_ASSIGNMENT            
2        8        10                        T_CONSTANT                TS_INTEGER_LITERAL       
2        10       ;                         T_DELIMITER               TS_SEMICOLON             
3        0        var                       T_KEYWORD                 TS_VAR                   
3        4        y                         T_IDENTIFIER              TS_IDENTIFIER            
3        5        ;                         T_DELIMITER               TS_SEMICOLON             
4        0        int                       T_NOISE                   TS_INT                   
4        4        z                         T_IDENTIFIER              TS_IDENTIFIER            
4        6        =                         T_OPERATOR                TS_ASSIGNMENT            
4        8        5                         T_CONSTANT                TS_INTEGER_LITERAL       
4        9        ;                         T_DELIMITER               TS_SEMICOLON             
5        0        string                    T_NOISE                   TS_STRING                
5        7        name                      T_IDENTIFIER              TS_IDENTIFIER            
5        12       =                         T_OPERATOR                TS_ASSIGNMENT            
5        14       "Alice"                   T_CONSTANT                TS_STRING                
5        21       ;                         T_DELIMITER               TS_SEMICOLON             
7        0        // JUNKY DECLARATIONS     T_COMMENT                 TS_COMMENT_LINE          
8        0        var                       T_KEYWORD                 TS_VAR                   
8        4        int                       T_NOISE                   TS_INT                   
8        8        a                         T_IDENTIFIER              TS_IDENTIFIER            
8        10       b                         T_IDENTIFIER              TS_IDENTIFIER            
8        12       =                         T_OPERATOR                TS_ASSIGNMENT            
8        14       3                         T_CONSTANT                TS_INTEGER_LITERAL       
8        15       ;                         T_DELIMITER               TS_SEMICOLON             
8        23       // invalid: extra identifier T_COMMENT                 TS_COMMENT_LINE          
9        0        var                       T_KEYWORD                 TS_VAR                   
9        4        float                     T_NOISE                   TS_FLOAT                 
9        10       =                         T_OPERATOR                TS_ASSIGNMENT            
9        12       4.5                       T_CONSTANT                TS_FLOAT                 
9        15       ;                         T_DELIMITER               TS_SEMICOLON             
9        23       // invalid: missing variable name T_COMMENT                 TS_COMMENT_LINE          
10       0        char                      T_NOISE                   TS_CHAR                  
10       5        c                         T_IDENTIFIER              TS_IDENTIFIER            
10       7        =                         T_OPERATOR                TS_ASSIGNMENT            
10       9        ;                         T_DELIMITER               TS_SEMICOLON             
10       23       // invalid: missing literal T_COMMENT                 TS_COMMENT_LINE          
11       0        var                       T_KEYWORD                 TS_VAR                   
11       4        d                         T_IDENTIFIER              TS_IDENTIFIER            
11       6        7                         T_CONSTANT                TS_INTEGER_LITERAL       
11       7        ;                         T_DELIMITER               TS_SEMICOLON             
11       23       // invalid: missing '='   T_COMMENT                 TS_COMMENT_LINE          
13       0        // GOOD CONDITIONALS      T_COMMENT                 TS_COMMENT_LINE          
14       0        if                        T_KEYWORD                 TS_IF                    
14       3        (                         T_DELIMITER               TS_L_PAREN               
14       4        x                         T_IDENTIFIER              TS_IDENTIFIER            
14       6        >                         T_OPERATOR                TS_GREATER_THAN          
14       8        5                         T_CONSTANT                TS_INTEGER_LITERAL       
14       9        )                         T_DELIMITER               TS_R_PAREN               
14       11       {                         T_DELIMITER               TS_L_BRACE               
